beer_id,brewery_id,style,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,abv,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,brewery_nbr_beers,true_serving_type
27804,321,Belgian IPA,1348308000,axeman9182.356817,4.0,3.5,3.0,4.5,4.0,3.98,"750 mL bottle, part of Amanti Vino's Beer of the Month program. It was poured into my petite Duvel tulip.Houblon Chouffe Dobbelen IPA Tripel pours a mildy hazy sunshine yellow. Three fingers or so of white foam rise up to top the beer. Head retention and lacing are both decent, but neither particularly impresses. The nose isn't too potent, but it does have some pleasant apricot/fruity and earthy/spicy aromas. The flavor is a much better display of the fusion between tripel and IPA that makes up this beer. Pear and apricot stone fruit esters open things up, and fade beautifully into some more tropical fruity hoppiness. The bitterness that rolls through next is notable, but not overly aggressive. The finish is the same earthy, spicy, noble hop note from the nose, I'm guessing courtesy of the Saaz hops. If a little bit of a phenol presence could ave been integrated the beer would be just about perfect. The mouthfeel was a little bit of a letdown. Simultaneously, the body was a little chewy and the carbonation fell a bit on the dull side. That aside, Houblon Chouffe is a great Belgian IPA, displaying the harmonies that can exist between American hopping and Belgian yeast strains.",2715,1198,4.2,9.0,739,708,1249466400.0,"United States, New Jersey",Belgium,20,bottle
1193,35,English Pale Ale,1321095600,tone77.332060,4.0,3.0,3.5,3.0,3.5,3.21,"Poured from a brown 12 oz. bottle. Has a bronze color with a 1/2 inch head. Smell is mild, some malts detected. Taste is also very mild, some malts, very lightly hopped, not very big on flavor. Feels medium bodied in the mouth and overall this is a mediocre beer.",2092,977,3.68,5.4,3489,3489,1242813600.0,"United States, Pennsylvania","United States, Massachusetts",285,bottle
53202,99,American Pale Ale (APA),1296212400,mjrod2142.481593,4.0,3.0,3.0,3.0,4.0,3.26,"12oz bottle poured into a standard pint glassThis beer has a nice amber-caramel color with lots of bubbles soaring upwards. The head was very thin, but it held up firmly for a few minutes. An underwhelming citrus-hoppy aroma that says &quot;mass produced&quot; in my mind.The flavor is decent...not bad. Nothing jumps out at me either positively or negatively. It's easy drinking...I could throw back a few of these without much thought. If you're looking for a good American Pale Ale, go with Dale's or Sierra Nevada.",459,206,3.5,5.3,60,60,1279533600.0,"United States, Massachusetts","United States, New York",162,bottle
1639,392,Fruit / Vegetable Beer,1091613600,scottum.1401,4.5,4.0,4.5,4.5,4.0,4.28,"This one pours out black black black with a short tan head with a slight hint of red. Tastes of some toasty malts with a nice touch of fruits and chocolate. The raspberry flavors add a great deal to this brew without taking anything away. Mouthfeel is smooth and balanced, just far away enough from dry to help the fruit stand out. A very good brew worth checking out.",313,285,3.91,8.0,559,559,1043319600.0,"United States, Vermont","United States, Pennsylvania",184,unknown
1014,345,Hefeweizen,1125741600,supacelt.6229,4.0,3.5,4.0,3.5,4.0,3.68,"This refresher emerges clouded with particulate yeast and is quite golden. A nice white head develops in true robust wheat fashion, but does not last as long as the heads I recall from others of my typical wheat beer experiences. Lace in the shape of a snail appears making me crave garlic slathered escargot. Later as the snail shrinks as if salted, the remainder of the lacing clings for only seconds, then oozes back from whence it came as if alive. All the while active carbonation launches to the surface. The snail now looks bizarrely like a dog with a very long neck.The smell is noticeably clove laiden at first sniff. There are traces of narn, that would be banana, and also a peculiar lemon meringue effect. Wheat aspects are abundant for reasons that do not seem hard to ascertain. Ultimately a wafting air biscuit of light and bouncy textures.The taste holds the aforementioned clove in high prestige. There is a nice air fluffed wheatiness that is both a mouthfeel and a taste somehow simultaneously. Not a lot here to comment on, but just what I had presumed would make itself known. Typical light and watery, spice/clove, and weird fruit effects of the narn persuasion and lemon fluff.Mouthfeel is light. Light and appropriate and nothing out of the usual.Drinkability is good. Very gaseous and belch provoking at the same time which may prompt a cautionary advisory. Overall fine. Do not expect to be compelled into fits of joyous ranting and things of this nature. Not a bad little weiss thingy though.",363,282,3.92,5.7,351,351,1084096800.0,"United States, Michigan","United States, Pennsylvania",317,unknown
61833,23651,Belgian Strong Pale Ale,1284372000,dkter.393510,4.5,5.0,4.5,5.0,5.0,4.92,"A crisp and effervescent beer that calls to mind some of the best Belgian Goldens, but with an American twist. It goes down incredibly smooth for 8.5% abv and just feels perfectly balanced with enough hop flavor on the front-end without a bitter aftertaste. This may be my favorite beer ever to come out of the South.",193,65,3.96,8.5,11,11,1258282800.0,"United States, Georgia","United States, Georgia",32,unknown
48194,148,English Stout,1294743600,mit.45804,4.0,3.5,3.0,3.5,3.5,3.48,"a very dark colouring with only the smallest amount of light being allowed through. Nice lasting head and lacing.s-dark roasted malts, slight coffee character and some dark chocolate smells coming through...t-the dark malts come through...there is a slight sweet edge to it that you don't usually get with a stout beer. Def interesting.m-probably not what I would expect a 7% beer to be...feels a little thin.d-not bad...I could drink a few of these.",657,285,3.92,7.0,283,282,1130234400.0,Canada,Scotland,39,unknown
364,132,Witbier,1303466400,knapp85.408506,4.0,3.5,3.5,2.5,3.0,3.03,"This Witbier poured out as a cloudy yellow with some sediment floating through out till it settled at the bottom. The head was pretty big, white and fluffy. The aromas were slightly grainy and had a little bit of citrus in there too. The flavor I felt was pretty weak. I know that I've had stronger flavor Wit's before. This beer's mouthfeel is soft and on the light side as well. It's ok, but I wasn't very impressed with it.",486,296,3.57,4.8,8098,3562,1261738800.0,"United States, Pennsylvania","United States, Oregon",247,unknown
1180,64,Belgian Strong Dark Ale,1127988000,estreet20.23459,3.0,4.0,3.5,3.0,3.0,3.29,"12 ounce brown glass bottle. Poured into one of my new DFH Oversized wine glasses.A - A nice dark brown color, definitely looked like mahogonay as the bottle stated. However there was little if any head. I thinkI may have given it a bad pour though.S - An interesting smell. Hints of grape, almost like a wine but with not as much sourne.ss to the nose. An intriguing aroma to say the least.T - Odd taste. Has a lot of bubblegum flavor in there with some fruity kick. Quite a bit of alcohol kick as well. A seemingly unbalanced taste. It's not bad, but nothing to rave about.M - I would definitely like some more carbonation. A small saving grace is the alcohol warming on the toungue which I always like, still a little too flat for my tastes.D - It does go down smooth, however it is an 8% beer so watch out. I think a little more carbonation, plus a better balance of flavors would make it more drinlable.Notes: Can't say I'm too crazy about this one. SO far I've tried the 90 min IPA from DFH and loved it and also enjoyed the 60 min. This one just doesn't stack up in my opinion, however there are definitely worse six packs I could have in my fridge and I won't complain about drinking the others, just a little disappointing.",4287,1772,3.66,8.0,423,423,1118311200.0,"United States, New Jersey","United States, Delaware",378,bottle
18630,1628,Saison / Farmhouse Ale,1269255600,gilgarp.126987,4.0,4.5,4.0,4.0,3.0,3.92,"Served cold into a goblet glass, Cuvee de Fleurs has a hazy golden yellow-orange color with a thick white foam top. It settles slowly but doesn't leave much lacing on the glass.The aroma is floral and peppery.Flavor is intense in spicey black pepper, lavendar floral, and light citrus. The floral flavors are almost medicinal and very strong. Balance is good though where the sweet, spicey, floral qualities don't overwhelm eachother.Mouthfeel is what you'd expect from a strong Belgian - light in body with above average carbonation.Overall I'm impressed but a little disappointed, if that makes any sense. Impressed because it's a pretty wildly different beer with very unique flavors. Disappointed that it seems almost too much to handle. So, interesting to try but it'll be difficult to finish the bottle.On a side note, I asked my horticulturalist wife to identify the species on the back label. She said they can't be because the genus names are abreviated which can only be done if you're doing a list of species from the same genus. Anyway...",259,193,4.04,8.2,1409,1252,1173870000.0,"United States, Colorado","United States, New York",99,bottle
23059,211,Saison / Farmhouse Ale,1183370400,morebeergood.7924,3.5,3.0,4.0,4.0,3.5,3.63,"Had this on tap at Watch City on Saturday 6/30/07. The chalkboard described this as a Belgian Red Ale, so I asked the bartender if it would have a sour taste to it. He said it's the opposite, it has a bit of a sweet taste. It was served in a oversized snifter with a hefty price of $5.75. It was a dark ruby red color with a thin head. The flavor was very good though. It had a fruit like characteristic to it, somewhat like cherry. No sourness at all. Tasted just as good as the beer approached room temp. At 7.8 % abv, it was a fine beer to just enjoy and sip. My favorite beer on tap there that night.",22,13,3.56,6.8,1319,850,1092391200.0,"United States, Massachusetts","United States, Massachusetts",141,draft
27399,415,English India Pale Ale (IPA),1235386800,godofbeer.180865,3.5,3.5,3.0,3.5,3.5,3.45,"Pours a light amber/brown with a thin white head, lots of carbonation.Smells kind of macro at first, corny, sort of sweet, some citrus undertones too which aren't bad.This actually tastes half-decent, sweet caramel malts, with some slight citrusy hoppy bitterness, there is definately some corny metallic aftertaste though.",114,88,2.88,5.3,359,351,1198234800.0,Canada,Canada,47,unknown
2671,140,American Barleywine,1203678000,barronkr.75016,4.5,4.5,4.0,4.5,3.5,4.25,"25th Expedition -- reviewed same year.Pours a deep amber, copper red. Nice lacey head that quickly dissipates presumably due to the ABV. Smell is overwhelmingly C hopped. Piney, resinous, faint hint of citrus -- definitively Sierra Nevada. A slight sweetness from the malt barely carries through. Hoppy. The first taste is a rush of thick, sweet, resinous, all-American hoppy goodness fading to a nice bitter aftertaste that persists for a while. The malt easily balances the bitterness, first sweet and bready followed by an unexpected dry finish that lingers with the residual bitterness. As the beer warms the dryness becomes more evident, nicely contrasting the initial sweetness. The bitterness really does build in this beer, a quality that may decrease with aging -- who knows I'm not that patient. The mouthfeel is thick, but not overly so, again nicely complemented by the clean dryness that becomes progressively evident. Overall an EXCELLENT Barleywine, different in many ways from the malt-forward offerings of other companies. As a hophead I thoroughly enjoyed this one.",7503,3058,4.14,9.6,13,6,1145268000.0,"United States, South Carolina","United States, California",574,unknown
