beer_id,brewery_id,style,abv,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,brewery_nbr_beers,true_serving_type
387,124,Doppelbock,7.9,1143712800,scottoale.61735,4.0,4.0,4.0,4.0,4.0,4.0,"Comes in a half liter brown glass bottle and pours out a deep copper with a finger of off-white head, looking good !Robust malt, alcohol and earthy bitter hops fill the nose, ahhh this smells like the real thing, complex and full of flavor...oh yeah.The taste is of malty bliss, roasty, nutty and plenty of alcohol. Full rich flavor of premium malts dance around and tantilize your tastebuds, then warms you, and when you think what's next...it finishes with a perfect hop balance (bittering) that leaves you longing for more! This really is a tasty doppelbock that is right on target for the style.The mouthfeel is smooth, creamy and velvety. A full bodied beer that satisfies, this is a German beer of distinction.A pleasure to drink and recommend...try this one, well worth it...cheers.",2738,1376,3.92,662,662,1138186800.0,"United States, California",Germany,30,bottle
221765,45,American Wild Ale,5.8,1484564400,horseheadshophead.863763,4.0,4.25,4.25,4.5,4.5,4.39,"L: Hazy, translucent pale yellow, with some visible carbonation; a thin, foamy white head with somewhat poor retention, and very little lacing.S: Amarillo upfront; orange peel, dankness, and grass.  A mild tartness of lemon peel, candied lemons, ocean spray and yogurt.  A bit of light crackers and wheat.T: A big punch of tartness of lemon zest, lemon candy, lemon yogurt, tart pear, green apple, and citric acid.  A slightly salinity sensation like a gose.  A bit of cracker malt and wheat in the middle, briefly.  Then comes the hops, with orange peel and flesh, grass, a slight dankness, and pineapple, leaning a dry, clean finish.  Tapers off nicely without too much sourness or hoppiness, and very little in the way of lingering flavors, save for some tart lemon candy.F: Medium-light, crisply carbonated, very smooth, refreshing, and crushable.O: A really, really good, easy-drinking dry-hopped sour.  Perfectly refreshing, well-balanced, and flavorful.",185,53,3.97,457,456,1410775200.0,"United States, New York","United States, New York",181,unknown
80097,23222,Oatmeal Stout,5.7,1441965600,pagriley.884193,4.0,4.0,4.5,3.75,4.0,3.95,"12oz into snifterL - Pours almost black, thin off white head that recedes to a minimal ringS - roasted malts giving hints of bitter chocolate and a solid waft of coffeeT - light flavor profile with nicely balanced coffee, nuttiness and a hint of cocoa.  A touch ashy on the finishF - Full bodied and almost chewy.  Impressive for a such a low ABV brew.Overall, very solid beer.  worth trying",598,97,3.87,830,318,1414494000.0,"United States, Illinois","United States, Iowa",93,unknown
1464,99,American IPA,5.8,1200740400,sirsaranac.172790,3.5,3.5,3.0,3.0,4.0,3.35,"Ive had the Saranac IPA in the past.. but it never stuck out in my head as being delicious. Decided to review it..A- Crystal clear, a light golden bronze. Nice 1/2 finger head.S- Piny/floral hops... Not very strong... maltT- Hops.... Malt... The malt is almost as strong as the hop... MORE HOPS PLEASE! The brew is well balanced, but not really an IPA if I do say so myself... this tastes more like Sierra Nevada Pale Ale. M- Light body... high carbonation. A little bite.D- Eh, i could drink this... but, not if i was really in the mood for strong well balanced hops. Tasty brew though....",938,548,3.32,65,65,1195124400.0,"United States, New York","United States, New York",162,unknown
57409,17271,English Dark Mild Ale,3.2,1327575600,corby112.268461,3.5,2.0,3.5,2.0,2.5,2.34,"Draft at the brewery. Pours a hazy chocolate brown color with golden apricot edges and a half finger off white head that quickly settles into a lasting ring. Minimal spots of lace left behind. Bland aroma with an earthy, soily character along with some faint malt.  Hard to detect much else.  Subtle hints of nut, caramel and chocolate.  Medium bodied with tight carbonation and a lot of spicy hops.  Earthy with dry pine needle flavor and faint maltiness. Very earthy, dry and one dimensional. Not very complex with a really weak malt presence and too much carbonation. Overall this beer was really bad. I'm not sure if the keg had gone back or what went wrong but my experience with this beer was completely opposite of the other reviews so far.",13,8,3.92,2855,2853,1227092400.0,"United States, Pennsylvania","United States, California",168,draft
63164,2372,Russian Imperial Stout,10.25,1292065200,mondegreen.389382,3.5,4.0,3.5,4.0,3.5,3.82,"22oz into a Duck Rabbit mini snifter. There is a stern lookin lg comrade on the label in front of a giant, regal hop. Perhaps this should tell me something about this beer?Pours pitch black with minimal tan head. Very little lacing. Slight dark brown highlights at the edges.Nose is pretty hot. I'm getting strong roasted notes, light molasses sweetness, and a big dose of hops - all with a shot of alcohol on the nose. Flavor is toasty and bitter, with a touch of residual sweetness in the finish. Alcohol heat is apparent. Tastes like it might be a tad over attenuated. The big dose of hops helps balance things out, making this pretty tasty. Mouth is pretty thin for an impy stout. Would like it to be a bit thicker. Drinkability suffers a bit from the heat, but this is still an enjoyable brew. Get one for now and one for later - this one should be interesting down the road.",248,148,3.66,232,226,1257332400.0,"United States, Georgia","United States, Georgia",183,unknown
224,72,Weizenbock,8.2,1391598000,abeeronthebeach.742617,4.5,4.5,4.5,4.25,4.5,4.4,"Had this beer tens of times before, but this is my first time reviewing it.A – Pours a dark, ruddy brown with a furiously effervescent head which recedes to bald batches and then baldness within a couple of minutes. Not typical of this beer, so I’ll tack this down to this beer having travelled thousands of miles.S – Smells sweet and fruity. Perfumed-malt. Clear phenolic character. Some booze. Soreen loaf.T – Not as sweet or fruity as the nose. Wheat, boozy malt and a semi-sweet yeast flavour predominate.M – Fairly high carbonation makes this remarkably refreshing for a fairly strong and dark beer. Mouthfeel is bang on; it would be cloying if it were much heavier, and would fail to carry the abv., and strong malty-wheat flavours if it were lighter.O – I’ve drunk this beer at least an order of magnitude more than any other beer on the planet. At university I’d routinely drink 2-3 of these bad boys when I’d sit down to write an essay. This beer made a significant contribution towards my graduating from that institution. Tap 6 Aventinus will always be a special beer for me and as such it’s hard for me to separate my assessment of this beer as a beer from the many happy memories it has provided me with and long nights it has accompanied me on. Funnily enough I started drinking it for purely pragmatic reasons; it provided the best balance between affordability, flavour and high abv., but over time I really started to appreciate it for the classic brew that it is.",4496,2142,4.31,620,129,,,Germany,30,unknown
607,192,American Amber / Red Ale,5.2,1275127200,corby112.268461,3.0,3.5,3.5,3.5,3.5,3.47,"Pours a clear dark amber color with a two finger light beige head that slowly fades into a lasting ring. Minimal spots of lacing left behind.Toasty malt aroma with hints of caramel, toffee and hazelnut. There is also a slight earthy hop character in the nose. Medium bodied with a subtle dry hop presence up front that provides nice balance to the sweet toasty malt notes. The malt flavor is stronger than I expected with hints of caramel, toffee and hazelnut. The toasted character of this beer was really nice without going over the top and provides a nice comlexity that is often missing in this style.",8661,2041,3.6,2855,2853,1227092400.0,"United States, Pennsylvania","United States, Colorado",298,unknown
49753,978,American IPA,7.3,1341396000,wvbeergeek.775,4.0,4.0,4.0,3.5,3.5,3.7,"Appears a pale copper orange color with a bright white head forming thick with speckled lacing left behind in my glass. Aroma has some onion like Summit notes with a nice citric grapefruit hop nose. Flavor explodes with grapefruit rind citrus notes and a heavy garlic onion notes bursting through the hop profile sweet malts balance it all out not overtly so but there's a long lasting earthy vegetable like flavor. Mouthfeel has a resinous oily hop texture with even flowing carbonation, probably medium bodied if I had to choose how thick it is. Overall an interesting well spirited hopped up West Coast IPA.",170,63,3.44,4108,3210,1032861600.0,"United States, West Virginia","United States, California",51,unknown
63562,73,Doppelbock,7.8,1299582000,lolli1315.347999,4.5,4.0,4.0,3.5,3.5,3.73,"A- Dark brown color, but when light is shown through the glass it shows the great clarity of the beer. Slight ruby highlights around the edges as well. Pour with a persistent tan creamy head with noticeable lacing sticking to the side of the glass.S- Moderate-high malt aroma takes control of the nose. There is a lingering sweetness as the toasted malt emerges a little more. A light spicy hop aroma is noticeable in the middle, most likely the product of a noble hop. Slight prune and plum as well as chocolate towards the finish before being swiped away by a moderate alcohol smell.T- Rich toasted malt character begins the beer, but doesn't last as long as expected. Plumes and raisins begin to emerge towards the middle and linger throughout the taste. Edging into the finish there is a rise of a slightly apple and tart flavor with low levels of diacetyl. Alcohol rises in the finish in moderate or slightly stronger levels to finish out the end of the beer. Not as clean of a taste as the smell.M- Medium bodied with a creamy mouthfeel as a result of the moderate carbonation.D- Not a bad beer altogether, but lacks the clean flavor that really defines the style. I would prefer to pick up a Celebrator, but I have no problem finishing the rest of my 4 pack.",420,213,3.85,202,202,1247220000.0,"United States, Illinois","United States, Ohio",171,unknown
274016,29850,Quadrupel (Quad),10.5,1491818400,gavage.1881,3.75,4.25,4.25,4.25,4.25,4.22,"Appearance: pours a cloudy brown color with a 1/2&quot; head.Smell: Belgian yeast, pepper, and some fruit sweetness rises from the glass.Taste: big malt profile with Belgian yeast, plums, pepper, coriander, toffee, oak, and a nice earthy bitterness. Alcohol is warming but this is not overly boozy.Mouthfeel: heavy in body. Light crispness throughout.Overall: a slow sipping big quad that has a nice balanced flavor profile.",6,3,4.27,3476,3470,1049796000.0,"United States, New Jersey","United States, New Jersey",92,unknown
