,beer_id,brewery_id,style,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,abv,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,name,brewery_nbr_beers,true_serving_type
1975857,58983,1432,American Amber / Red Ale,1379671200,chinchill.199175,3.5,3.0,3.75,3.5,3.5,3.41,"Undated 12 oz. can of Firefly Amber Ale served in a snifter. Pours a slightly hazy, deep red-amber with an attractive bone-colored head. The head has good retention and leaves small spots of sticky lacing. Rather ordinary aroma excepting the notably higher (and earthy/herbal) hop level, but the flavor is more complex and rich than a typical amber. Compared to average, this amber also has a hoppier finish and a a touch less sweet. Feel: Crisp, medium carbonation. Relatively dry for style. O: A fine session beer or, as the brewer claims, transitional beer for those used to adjunct lagers.",287,51,3.49,4.5,5347,5199,1204282800.0,"United States, South Carolina","United States, Ohio",Jackie O's Pub & Brewery,427,can
1638047,11467,596,Fruit / Vegetable Beer,1152612000,jabocu.64369,4.0,2.5,2.5,2.5,2.0,2.49,"This came out to me looking fantastic... I couldn't wait. It was a hazy medium amber with faint purple highlights. One finger white cap and they had 3-4 big blueberries floating in the top. Expectations were high. Aroma was kind of musty, lightly malty, and I couldn't detect any blueberries or any fruit in the nose. Flavor was a little sweet, earthy, biscuit, a little sour wheat, and very mild bitterness. Where's the blueberries?? Mouthfeel was medium carbonation, a little watery, and left an odd aftertaste. Anyway, not my favorite from Portsmouth brewery.",37,26,3.56,5.5,101,101,1139482800.0,"United States, Georgia","United States, New Hampshire",Portsmouth Brewery,203,unknown
1583383,277064,46926,Fruit / Vegetable Beer,1495360800,cjgiant.741623,3.0,3.75,3.75,4.0,4.0,3.86,"On tap:Comes to me pretty flat, but with a lightly hazed golden-leaning-copper body.Nose gives off strawberry atop a very generic pale ale base with a balance on malt and citrus rind/zest.Taste follows, a clean pale ale that would probably be pretty bland were it not for a slightly sweet strawberry flavor.  Very light fizz and a fairly light body for a decent ABV beer.I think trying to do too much more with the beer side might detract from the fact that it's a fruit beer.  No distractions from the featured ingredient - and I'm surprised how it comes out, given strawberry is usually subtle.  I can live with it if the additive is a syrup, in this case.",6,2,3.91,8.0,2202,1727,1373709600.0,"United States, Washington","United States, Virginia",Kindred Spirit Brewing,25,draft
1435293,61952,345,German Pilsener,1293188400,pdxhops.268116,4.5,4.5,4.5,4.5,4.5,4.5,"On tap in a shaker pint. Bright light golden body with cloudlike white head that stands proud of the rim for some time before I get around to smelling the stuff. Eventually it dies down and leaves loads of delicate sticky lacing.Great nose on this stuff. Especially noteworthy are a ton of fresh cut hay, the most I've ever smelt in a beer, and a blast of spiciness. Lots of crisp malt behind all this. Huge crisp maltiness right away, but almost immediately a stinging bitterness kicks in. Hints of lemon and earthiness. Very spicy, very grassy, very delicious. Crisp and dry at the swallow with an incredibly long bitter and spicy finish. Lightly toasted grain aftertaste.Overall impression: Great pilsner, even better than Prima. I'd love it if they made this stuff again.",11,7,4.26,5.0,798,798,1227092400.0,"United States, South Carolina","United States, Pennsylvania",Victory Brewing Company - Downingtown,317,draft
1452455,1013,345,American Double / Imperial Stout,1315389600,rifugium.304205,4.0,3.75,4.0,4.0,4.0,3.94,"First had: ? (various)Pours an opaque black-brown with a nice-sized tan head that retains and laces well. Roasted malt aroma, coffee and cocoa, some dark fruits and hints of citrusy hops. Nice full-bodied taste, nothing you haven't had in a stout before, aside from probably more hops than you're generally used to from the style. Dark roasty malts, coffee, dark chocolate, licorice, and brown sugar, with notes of citrus and floral hops. Modestly complex, tasty, and very drinkable.",5913,2642,4.1,9.1,4993,3297,1235991600.0,"United States, Pennsylvania","United States, Pennsylvania",Victory Brewing Company - Downingtown,317,unknown
776333,259724,43889,Berliner Weissbier,1484996400,beerchitect.14442,4.0,4.0,4.0,4.0,4.0,4.0,"Bright, brisk and beautiful. As the flavor of sour washes over the craft beer landscape, what was hoppy is now sour! Well.... kinda, sorta. But as the craft beer consumer has embraced the taste of acid in beer, the Mikkeller team just might have it right. This is a brand new normal.And the beer of that namesake pours with pale and cloudy gold, its scent is piquant of citrus, cider and the briskness of sea air. Capping with a creamy white fluff, the beer settles in with a taste of pulled candy, wheat, bread and delicate honey.And as the sweetness releases its tepid grip, its impressions live on- offering a roundness to the citrus taste of lemon, lime and grapefruit; along with the winey impressions of riesling then trailing with a cidery flare of granny smiths. What rounds on the palate is a taste of saltwater taffy and key lime dessert while also trending dry, sour and pleasantly saltine.Medium light on the mouth, the beer's texture is soft with wheat but brazen with acidity which governs the finish. One again, brisk, bright and tangy the wine influence is strong but those candied taffy love notes resonate high as a quick finish follows with a fruity, sour and minerally brine looming.",15,6,3.86,3.2,6778,6778,1107946800.0,"United States, Kentucky","United States, California",Mikkeller Brewing San Diego,126,unknown
713676,61,28,American Porter,1092650400,mynie.6910,5.0,4.5,5.0,4.5,4.5,4.58,"Goodness me. Pours as black as night with ruby hedges showing if it's held up to light. Pretty. Big head that stays and lacing to boot. And it smells great. A twinge of coffee. A bitter and sweet smell. Not bittersweet. Bitter AND sweet. The scents do not counteract each other in anyway. They coexist in perfect harmony. Taste smooth, very creamy with strong traces of chocolate and coffee. Maybe a hint of earth? Sometimes soil tastes good, though. The best part about this beer is the taste is leaves in your mouth after it's gone. It tingles, makes your mouth seem vaccous and makes you crave for more. FULL body. Great body. This is the Halle Berry of beers. It's got that kind of body. Goes down smooth.This is fine, fine beer.",3685,1545,4.1,5.6,2311,2252,1087898400.0,"United States, Maryland","United States, California",Anchor Brewing Company,79,unknown
1794687,39031,119,Foreign / Export Stout,1200740400,buckeyenation.3819,4.0,3.5,3.5,3.5,3.5,3.53,"Charred mahogany with slivers of reddish orange at the periphery. The sandstone colored cap that is currently filling the upper third of the pint glass looks to be a tight collection of glassine bubbles rather than heavily creamy foam. It still looks wonderful and is leaving thick sheets of cheesecloth-like lace.The nose comes close to matching the quality of the appearance. That said, more power and more roasted maltiness would be great. Might there be beechwood-smoked malt in there? This could be interesting.As a relatively light, sweet stout, Otter Mon isn't bad. It isn't outstanding either, but I'm trying to look on the bright side. Simply put, the depth of flavor that would have resulted from more malt isn't present. The somewhat cocoa-like, somewhat coffee-like, somewhat smoky flavor skates along the top of the taste buds without really digging in. A bit of background tanginess is a negative as well.Shouldn't foreign/export stouts be bigger than this? Considering the fact that the added cane sugar should be bulking things up a little, the lack of heft is disappointing. Since the beer is still incredibly smooth and silky, I've decided to go with the next highest score.My hope was that Otter Mon Jamaican-style Stout would be at least as good as Wolaver's Farmhouse Ale, a beer that I enjoyed earlier this week. It isn't, but that doesn't mean it isn't a worthwhile purchase. Just don't expect the gold standard for the style. Mon.",74,66,3.88,7.0,4668,4668,1070017200.0,"United States, Iowa","United States, Vermont",Otter Creek Brewing,105,unknown
1686107,1587,64,Herbed / Spiced Beer,1186221600,mshallah.25225,4.5,4.5,4.0,4.5,4.0,4.35,"A- Clear dark gold with an orange tint. Saffron may be adding to the unique color. Large bubbles.S- Sweet smell of grapes and honey. Pretty intense. Wine-like alcohol.T- Lots of flavor. Sweet barley, honey and grapes dominate with a warm alcohol burn. Saffron is subtle. I cannot detect hops or identify them in the flavor. Closely resembles hard cider with it's sweet tartness.M- More like hard cider or a wine spritzer than a beer in it's mouthfeel.D- Great sipper and great with food that white wines would usually pair with.Notes: An intense high alcohol brew(?) like this seems unlikely to be a crossover beer, but try sharing with friends who would usually be drinking chardonnet or hard cider and see what happens.",4818,1653,3.73,9.0,132,132,1119261600.0,"United States, New Hampshire","United States, Delaware",Dogfish Head Craft Brewery,378,unknown
2516950,67502,27681,American Porter,1323774000,elnopalero.381612,3.5,3.0,2.5,3.0,3.0,2.98,"Pours a dark black-brown with some foam on top. Light aroma, not much smoke comes through but there’s some malty sweetness to it. Tastes like a ok porter with a hint of vanilla that comes through. The promised smoke doesn’t make much of an appearance until the finish. It’s lightly smoked, thin bodied, and not one I’d seek out or try again.",185,63,3.64,6.0,1713,1711,1255514400.0,"United States, Texas","United States, California",Ass Kisser Ales,12,unknown
