,beer_id,brewery_id,style,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,abv,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,name,brewery_nbr_beers,true_serving_type
2397346,20134,3517,Euro Pale Lager,1310119200,lackenhauser.1153,4.0,3.0,4.0,3.5,4.0,3.56,Decent golden color with a great foamy head that lasts all the way down as it clings to the glass. Ok aroma-mild sulfur smell to it. Pretty basic aroma wise. Decent enough malty flavor upfront. Somewhat of a mild butter like flavor. Mild hop bite fades goes right into a residual sweetness. Very solid body for the style-actually quite full. A decent Euro lager in my book. Nice flavor and the full body works well together.,140,78,3.13,5.0,1341,1278,1039604400.0,"United States, Maryland",Belgium,Brouwerij Martens NV,63,unknown
1891771,35407,12985,Extra Special / Strong Bitter (ESB),1308477600,irondjinn.2090,4.0,3.0,3.5,3.0,3.0,3.11,"For some reason I like the fact that C.S.B. stands for &quot;crotch sniffing bastard&quot;. I'm also happy to see this brewery's stuff available in Alberta, as I always visit it in Ponderay whenever I'm in northern Idaho. Comes in a 650 ml brown bottle. Pours out a slightly hazed rustic copper, with a massive spongy beige head with great retention, which leaves long trails of lacing.Dry musty character in the aroma, dry tangerine and citrus rind, dry grains with a spike of biscuity malt.The flavour is equally as dry and musty. Dry toasty grains up front that are soon joined by spicy, leafy herbal hops the run the show from then on. There's some traces of dry spicy Belgian yeast in the background.Medium-bodied mouthfeel, smooth and dry texture, with low carbonation until a quick tingly kick on the finish.If this were a blind tasting I would have this more pegged as a Biere de Garde. Not a bad beer, but it's still too dry for my liking, like a Continental version of an E.S.B rather than an American version.",133,87,3.51,5.5,1430,1430,1053079200.0,Canada,"United States, Idaho",Laughing Dog Brewing,38,bottle
2152505,356,132,Russian Imperial Stout,1195729200,atrus138.153841,5.0,4.5,4.5,5.0,4.5,4.73,"Had this on tap at Rich O's Pizza Pub / the New Albanian.Amazing. Pitch black with a huge brown head that stuck all over the place. Delicious smoky smell of burnt chocolate, caramel, and coffee. Wow. Soooo sweet and creamy. Much sweeter than it smelled. One of the finest beers I've had, let alone imperial stouts. Odd that the item with the lowest price was the best offered. The ABV is well hidden in the delicious flavors. Definitely great for the colder months. If you love beer, you owe it to yourself to have this. Offerings like this are why I love beer.",1275,821,4.06,11.0,94,94,1187517600.0,"United States, Kentucky","United States, Oregon",Rogue Ales,247,draft
926863,49380,9538,American IPA,1240653600,reddiamond.4823,2.5,2.5,2.5,2.0,2.5,2.3,"Chinook beings with a vague, swampy smell that's not overpoweringly bad, but is entirely misplaced in a would-be IPA. The taste speaks more strongly of a pale ale that missed the boat to India. It hosts a modest burnt ginger flavor melded to something akin to tree bark. There's also a slight wash of honey water.Chinook is warm goldenrod and fails to dispense any head or lace. The inscription on the Atomic pint glass it's served in reads, &quot;scientific proof that flavor does exist.&quot; In this case, that's unfortunate.",2,1,2.34,6.5,1749,1749,1076324400.0,"United States, Oregon","United States, Washington",Atomic Ale Brewpub And Eatery,28,unknown
551304,405,112,American Brown Ale,1128679200,abcsofbeer.5757,4.0,3.0,3.5,3.5,3.5,3.41,"Poured from a bottle with no freshness date, only one label on front. The color is much like an ice tea and more like a pale ale. The bubbles are very abundant, covering the glass from top to bottom, which I thought interesting. The tan head is bubbly, about an inch high that dissipates slowly to thinness, and, leaves very little lace.The smell is buttery biscuits and sweet caramel. I can't pick much else out. The taste is semi sweet with a hint of warming alcohol and a slight hop bitterness in the aftertaste. Not a bad beer, but, a slighted brown ale.",104,96,3.64,5.6,324,308,1081764000.0,"United States, Virginia","United States, California",North Coast Brewing Co.,52,bottle
3785,875,323,English Porter,1032602400,viking.171,4.0,4.5,4.0,5.0,4.5,4.62,"I must agree with dpend - this is one hell of a breakfast beer (though at 11.2 oz, it takes a couple of bottles to make a full meal).It certainly has the look of old engine oil - extremely dark, almost black with just a hint of ruby red noticeable when viewed against a light.  Not as thick as I expected.  Decent head, but rather short lived.  Nice aroma of creamy, mellow chocolate and fruit.  Taste is smooth - very chocolatey with a nice roasted caramel malt character.  A bit of tart fruitiness - plum, I think - rests just under the chocolate.  Smooth and creamy beer.  Overall, a great treat.",1736,812,4.1,6.0,215,213,1006254000.0,"United States, Indiana",Scotland,Harviestoun Brewery Ltd.,74,bottle
1663884,6108,64,American IPA,1221213600,webmanspidey.137384,4.0,4.0,4.0,4.0,4.5,4.1,"Very good IPA. It is not as overwhelming as some, a more balanced refreshing taste than the more &quot;hop you to death&quot; philosophies other IPAs can espouse. Dark orange with a fruity hoppy taste and smell. Very clean and balanced. Could drink several of these.",11345,2836,4.06,6.0,755,457,1178532000.0,"United States, Michigan","United States, Delaware",Dogfish Head Craft Brewery,378,unknown
1832666,285417,44111,American IPA,1496829600,lone_freighter.1202198,3.5,3.5,3.25,3.25,3.5,3.38,"Poured into a nonic. The appearance was a hazy burnt orange color with a thin white foamy head that dissipated at a nice pace. Messy lacing slides. The smell had some citrus and grassy hops up front. Faint caramel backbone. The flavor was basically the same as the smell with a smooth quaint citrus to caramel aftertaste. Brisk malty finish. On the palate, this one sat about a light to medium on the body with a nice sessionability about it Carbonation rides low enough to allow the malts make things smooth to the touch on my tongue. Overall, it’s a good American IPA, perhaps a bit old school but it gets the job done.",1,1,3.38,7.0,3497,3496,1496570400.0,"United States, Vermont","United States, Vermont",Beer Naked Brewery,6,unknown
1050793,48835,98,American Pale Wheat Ale,1276596000,swalden28.271671,3.0,3.0,3.0,3.0,3.0,3.0,"Pours a clear gold with white fizzy head. Aroma of lemon peel, lemon grass, faint wheat, faint bubble gum. Flavor is very much the same. Mouth feel is light and watery with very high fizzy carbonation. Overall, it's a decent, refreshing summer beer. Has more then just a hint of lemon.",76,58,3.22,4.8,10,10,1227783600.0,"United States, Texas","United States, Massachusetts",Harpoon Brewery & Beer Hall,291,unknown
51486,73,664,Milk / Sweet Stout,1341309600,johnnnniee.125029,4.0,4.0,3.5,4.0,4.0,3.95,"Had on tap at the British Beer Company served in an Imperial pint glass. Came to the table a solid dark brown/black color with a huge tan head that slowly dissipates to sticky lace. Smells of bitter roast, dark chocolate, chocolate syrup, caramel, and earth and minerals. The flavor mimics the aroma quite well with a heavy emphasis on the dark chocolate and chocolate syrup. Medium body with a moderate level of carbonation and a creamy oily mouthfeel. I've had this quite a few times and I'm surprised I haven't rated it before now. I remember more chocolate from the bottle, but I could be mis-remembering. It is good I would drink it again.",5753,2360,4.02,5.2,4192,3741,1172660400.0,"United States, New Hampshire",England,Wells & Young's Ltd,58,draft
