Unnamed: 0,beer_id,brewery_id,style,date,user_id,appearance,aroma,palate,taste,overall,rating,text,beer_nbr_ratings,beer_nbr_reviews,avg,abv,user_nbr_ratings,user_nbr_reviews,user_joined,user_location,brewery_location,name,brewery_nbr_beers,true_serving_type
1566805,51501,16816,Witbier,1248948000,johngalt1.33827,4.0,4.0,4.0,4.0,4.0,4.0,"Growler from the brewpub... Brenda and I stopped in to meet up with BeerTwinkie (Spencer) .... This growler was shared with the Boise &quot;Beer Elite&quot; (inflatablechair, buckeyeboy, ditmier, reinheitsgematt) and was very well received.. Poured a cloudy lite orange yellow with a good head.. Nose was spot on for a Witbier.. maybe a tad bit too much orange peel.. but nobody was counting.. nice coriander spice seemed pretty fresh.Flavor was again pretty much perfect... I expect an actual &quot;witbier&quot; yeast was used ... a good acidity that only comes from the yeast was present.. great carbonation and the mouthfeel had a nice creamy element.. Good to great attempt at a classic style.. Thanks Spencer for the brews... your generosity will definitely not be forgotten.",3,1,3.93,5.0,3116,3116,1123668000.0,"United States, Idaho","United States, Montana",Lone Peak Brewery,21,bottle
1433616,27418,1937,American Stout,1154512800,mjc410.11580,4.0,3.0,3.0,2.0,2.5,2.56,"Poured into an opaque plastic cup, so a review of appearance is tough, but...The beer is non-nitro, which is always appreciated. It is solid black, with a long lasting, frothy dark tan head. Leaves nice lacing on the plastic. The nose contains of course roast, but also vanilla, and a bit of a berry fruitiness. Very light. Somehow, this beer has a very off taste. It is very bitter in a roasted way, which is fine (although a bit over-roasted, it seems), with an odd berry flavor (hinted at in the nose), which fortunately recedes as it warms (quick in the August sun). The mouthfeel is somewhat thin, and less carbonated than appreciated. Overall, the beer loses so much for the foreign tasting berry flavor. I will re-review (hopefully!) in Autumn, when I hit up the Renaissance Faire again.",4,3,3.65,6.2,295,295,1102503600.0,"United States, Vermont","United States, Pennsylvania","Swashbuckler Brewing Co, LTD",35,unknown
1819815,270,94,English India Pale Ale (IPA),1393585200,jonadams.785709,3.5,3.0,3.5,3.5,3.75,3.43,"Served very cold in a pint glass. Was a cold room and hard to evoke a scent from the brew. However, was poignant and a nice bit of bitter. Color was deep golden and transparent. Was the third of a set of beers at the Keg Room in NYC, and was the most enjoyable of the bunch. Will try again when the weather warms up a bit more.",1215,418,3.62,6.0,146,51,1393585200.0,"United States, New York","United States, Vermont",Long Trail Brewing Co.,94,unknown
1856449,239672,33482,American Porter,1472119200,jwale73.153242,4.25,4.0,3.5,3.5,3.75,3.72,"500ml bottle served in a tulip.  Pours the color and clarity of cola with a rocky, half-inch, khaki-colored head embedded with tiny pinpricks.  Head eventually dissipates into a soapy swirl.  Huge coffee roast presence in the nose with just a trace of artificial sweetener and a kiss of vegetal.  Taste expresses light note of vanilla, albeit artificial in character.  Coffee is quite diminished in the flavor profile, given the nose.  It also expresses a trace of something metallic towards the back.  Mouthfeel is light in body with and comes off a bit thin for the style.  Carbonation is even and consistent but more prominent due to the diminished body.  Overall, decent - slightly better on nitro but not much depth to it.",10,5,3.98,6.2,2538,2533,1187172000.0,"United States, Rhode Island","United States, Rhode Island",Proclamation Ale Company,76,bottle
1706844,1388,402,English Pale Ale,1069844400,nerofiddled.526,4.5,4.0,4.0,4.0,4.5,4.13,"Dominion Ale is English in style, while it's cousin - Dominion Pale Ale - is more American. It's clear copper body is topped by a frothy head of white foam that holds well and leaves some very nice rings of sticky lace. Its fresh and inviting nose displays a generous amount of caramel-laced, biscuity malt accented by lightly floral and grassy hops. The body is medium and its fine carbonation is crisp in the mouth. The flavor reflects exactly what the aroma suggests with a gently caramelish and biscuity malt that's accented by floral, leafy and slightly grassy hops backed by a solid bitterness. It's quite delicately balanced with a bitterness that allows the malt to come through but still restrains it. It never steps out of line, but doesn't back down either; and it finishes dry with a short-lingering note of caramelish malt and floral hop. Surprisingly, on the back label they compare this delicate beauty to some sulphur-ridden, hard-muscled swilll from Britain... and it's certainly not! It's crisp, clean, and vibrant with a beautifully floral hop aroma that's like a summer morning after the rain has fallen. Quite nice!",200,137,3.7,5.4,5319,5316,1026122400.0,"United States, Pennsylvania","United States, Delaware",Old Dominion Brewing Company,104,unknown
2189736,123623,63,American Porter,1414494000,alieniloquium.277522,4.5,3.5,3.5,4.0,3.75,3.81,"650 mL bottle poured into a snifter.Appearance - Black body, but not inky dark.  Big khaki head.  Chunky collar.  Lots of lacing and surface wisps.Smell - Roasted malt.  Kinda woody with a bit of bourbon.  Fruity in back.  Dark fruits like the cranberry described.Taste - Much more bourbony.  Woody too.  Oak permeates.  Bitter black malts builds into the back end before a distinct fruitiness.  Works well.Mouthfeel - Medium body.  Not as heavy as I expected.Overall - The fruit seemed subtle at first but definitely got stronger as it warmed.  It's an interesting addition, but doesn't help a beer that could use some richness.",1085,188,4.13,10.8,4377,4376,1229425200.0,"United States, Florida","United States, Oregon",Deschutes Brewery,431,bottle
160792,42312,10321,American Pale Ale (APA),1344938400,smakawhat.204323,3.5,2.0,3.0,3.5,2.0,2.79,"Poured from the can into a nonic pint glass. UPDATE can reading of M2509 is WAY OLD! I will re-review this in the future for sure when I can.A pale and muddy orange light amber body, with a good thick white head, three fingers deep, with a good cap and retention. Some sticky qualities in the head but a rather hazy and muddy appearance.Nose is full of movie theater diacetyl popcorn. I smell nothing else going on here. I kind of want to get some salt and spread this, but still not feeling it. I would like something else, but sorry as much as this isn't really off putting you should deliver something else for my senses.Taste is much improved, but hardly anything to brag about. Orange fruit somewhat, with a light body palate with some wet like juice quality. However, the body is quite thin with hardly a malt backbone to carry anything forward. Hop angle, non existent.Overall, really loved the IPA Central City, but this is not getting it done at all. In short a wet buttery forgetful mess.",215,120,3.8,5.0,3950,3869,1205838000.0,"United States, Maryland",Canada,Central City Brewers + Distillers,120,can
558894,412,112,Russian Imperial Stout,1302861600,d4114.562059,4.5,5.0,4.0,4.0,4.5,4.37,"3/30/11A- Pitch black; 2 fingers of creamy tan S- Big coffee notes; At first it can be a little strong but after a little you really get the complexity; A little sweetness and some alcoholT- At the front you get a really bitter and chard flavor; The middle you get coffee or espresso with a hint of alcohol; The alcohol is masked very well; At the back you are left with a smooth, dry bitterness M- Medium to heavy bodied; Would have thought it would have been more thick and viscous; Warms back of mouth and throat O- Really good complex beer that you can get year round",12194,3722,4.28,9.0,62,62,1296730800.0,"United States, California","United States, California",North Coast Brewing Co.,52,unknown
1799874,114804,46317,American Double / Imperial IPA,1478257200,anteatr23.963232,4.5,4.25,4.0,4.0,4.0,4.09,"Pours a light, bright, golden orange with a three finger head.  The look and body are quite nice and the head is frothy.  Smells of peppery hops and citrus.  Taste is hoppy and biting, very hop forward and crisp.  Lingering bitterness and dryness.  Citrus not quite as present in the flavor.  Somehow the booze is well hidden.  Likely masked by the bitterness.  Overall, not a bad showing from The Alchemist.  Personally prefer Heady and Focal.",1792,235,4.49,9.0,287,224,1427108400.0,"United States, Massachusetts","United States, Vermont",The Alchemist Brewery and Visitors Center,27,unknown
1491692,127319,28091,American Pale Wheat Ale,1437300000,tucquan.164286,4.0,3.5,3.75,4.0,3.75,3.81,"Had thus on 2015-07-19 in Harrusburg, PA at The Millworks on tap. Nice dollop of mango but the wheat flavor comes through. Refreshing. Good summertime brew.",85,9,3.69,4.8,1927,1442,1192096800.0,"United States, Pennsylvania","United States, Pennsylvania",Free Will Brewing Co.,143,draft
